prefix,proposed_site,confidence,evidence,applied
CHDS,Hattusa,0.7,"Chicago Hittite Dictionary Supplements -- confirmed via WebSearch to publish 'Unpublished Bo-Fragments' (Bo = Boghazkoy prefix), i.e. Hattusa-origin fragments held/catalogued by the U. Chicago CHD project, not an excavation-findspot siglum itself.","FALSE -- unapplied, expert review required"
DBH,Hattusa,0.65,Dresdner Beitraege zur Hethitologie -- German publication series historically focused on Boghazkoy material; not independently re-verified per-volume here.,"FALSE -- unapplied, expert review required"
FHL,Hattusa,0.5,No definitive series identification found via WebSearch; appears in bibliographies alongside other Boghazkoy-fragment sigla but evidence is weak -- lower confidence than the others in this list.,"FALSE -- unapplied, expert review required"
VSNF,Hattusa,0.65,"Vorderasiatische Schriftdenkmaeler Neue Folge -- Berlin museum (Vorderasiatisches Museum) publication series; VAT-collection-adjacent, predominantly Boghazkoy-origin holdings historically.","FALSE -- unapplied, expert review required"
HFAC,Hattusa,0.7,"Hittite Fragments in American Collections (Beckman) -- published private/museum US holdings, predominantly Boghazkoy-origin material that entered the antiquities market/collections.","FALSE -- unapplied, expert review required"
Privat,Hattusa,0.55,Generic 'private collection' label -- plausibly Boghazkoy-origin by base rate (most dispersed Hittite tablets in private hands trace to early Boghazkoy excavations/antiquities market) but no specific verification performed.,"FALSE -- unapplied, expert review required"
VAT,Hattusa,0.65,Vorderasiatische Tontafeln -- Berlin Vorderasiatisches Museum inventory prefix; largely Boghazkoy-origin historical holdings.,"FALSE -- unapplied, expert review required"
HHCTO,unknown,0.3,No identification found; insufficient evidence for a confidence-bearing proposal.,"FALSE -- unapplied, expert review required"
Gurney,Hattusa,0.55,"O.R. Gurney published-collection siglum (British); plausibly Boghazkoy-origin by base rate, not independently verified.","FALSE -- unapplied, expert review required"
Dispersa,Hattusa,0.5,"Likely a 'dispersed tablets' catalog label; plausibly Boghazkoy-origin by base rate, not verified.","FALSE -- unapplied, expert review required"
FHG,unknown,0.3,No identification found; insufficient evidence.,"FALSE -- unapplied, expert review required"
HHT,unknown,0.3,No identification found; insufficient evidence.,"FALSE -- unapplied, expert review required"
Durham,Hattusa,0.5,"UK museum/university collection siglum; plausibly Boghazkoy-origin by base rate, not verified.","FALSE -- unapplied, expert review required"
AMUM,Hattusa,0.55,"Possibly Anadolu Medeniyetleri Muezesi (Museum of Anatolian Civilisations, Ankara) -- this museum holds substantial Boghazkoy excavation material (cf. DAAM 3/4 Bo-range tablets), but the prefix expansion itself is not confirmed.","FALSE -- unapplied, expert review required"
München,Hattusa,0.6,"Munich museum collection siglum; plausibly Boghazkoy-origin historical holdings, not verified.","FALSE -- unapplied, expert review required"
AAA3,unknown,0.3,No identification found; insufficient evidence.,"FALSE -- unapplied, expert review required"
UK,unknown,0.3,Ambiguous short prefix; no confident identification found.,"FALSE -- unapplied, expert review required"
